ID,DOI,Journal,Country where corresponding author's university is based in,Quantitative or mixed methods paper,Stat test,Reported key result,Reproduced key result,Reproducibility (Key result),Protocol,Data type,xslx or csv provided?,Software used to reproduce,Syntax/code available? (incl JASP/JAMOVI),Available code used to reach final outcome?,Author 1 to reproduce (minutes),Support used by Author 1 to reach result,Final first result by,Parametric,Second result used?,Reported second result,Reproduced second Result,Reproducibility (second result),Final second result by,Both key and second result reproducible?,Author 1 comment,Author 2 comment 
35,10.1037/stl0000314,Scholarship of Teaching and Learning in Psychology,Brazil,Quantitative,2x3 mixed ANOVA ,"F(2,116) = 4.22, p < .02, ηp² = .07","F(2,116) = 4.22, p < .02, ηp² = .07",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,79,Notes,Author 2,Parametric,no,,,,,,"Initially used the wrong variables. Then, I chose the right ones (I assume) and still got a much higher F value. I then resorted to GPT after an hour of trying to work around things, I was told that the order of my variables were set up incorrectly. I took that suggestion and it still led nowhere (an even higher F value). All steps are explained in the syntax and all data needed is in the ""Reproducibility results"" folder.","This is poorly described in the text, and the data file is also poorly organised. What they did was a 2 x 3 mixed ANOVA, with the between subjects IV of sex, and the within subjects IV of condition (multi + reread; multi + retrieval; no multi + retrieval). The effect of interest in the main effect of condition. The key data are in the %_CORRECT_ANSWERS SECOND DAY_RR, %_CORRECT_ANSWERS SECOND DAY_MMRP and %_CORRECT_ANSWERS SECOND DAY_RP columns (they’re dark blue). I’ve pulled them out and put them in a separate data file.  "
36,10.1037/stl0000337,Scholarship of Teaching and Learning in Psychology,USA,Quantitative,2x2 mixed ANOVA,"F(1, 77) = 13.70, p < .001, ηp²= .15","F(1, 77) = 13.77, p < .001, ηp²= .15",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,35,Notes,Author 2,Parametric,yes," F(1, 77) = 2.15, p = .15, ηp² = .03","F(1, 77) = 2.09, p = .15, ηp² = .03",Not reproducible,Author 2,Both not reproducible,"Got the exact same means, SD, and np2. The only difference was the F value stat. Might be a rounding misinterpretation on their part. ","pre_prop and post_prop are rounded to 2dp. I thought that if I re-calculated these variables (pre_prop2 and post_prop2) the numbers might line up. They’re closer, but it is still not a direct match.  "
37,10.1037/stl0000356,Scholarship of Teaching and Learning in Psychology,USA,Quantitative,Mixed-effects binomial logistic regression,"Log-odds= 1.23, p < .001","(Log-odds = 1.23, p < .001)",Fully reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,45,Notes,Author 1,Parametric,yes,"(Log-odds = −1.11, p = .010)","(Log-odds = −1.11, p = .010)",Fully reproducible,Author 1,Both reproducible,"R code was very long and I had to install many packages. Got it at the end. If replicating my r code. Make sure to ignore the summarytools package, I did that because it required an application download and I did not really need that to reproduce results. ",N/A
38,10.1037/stl0000365,Scholarship of Teaching and Learning in Psychology,USA,Quantitative,Descriptive statistics,"2,697 terms (68%) were unique to a single textbook.","2,697 terms (68%) were unique to a single textbook.",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,8,Notes,Author 1,N/A,yes,Only 185 terms (5%) were common to all five (textbooks),Only 185 terms (5%) were common to all five (textbooks),Fully reproducible,Author 1,Both reproducible,"Very simple. Ran the frequencies and immediately received the result. Worth noting that SPSS said 68.5%, however when you press on the number, you will see that it is 68.46 etc. This means the authors were right not to round up to 69%",N/A
39,10.1037/stl0000385,Scholarship of Teaching and Learning in Psychology,USA,Mixed methods,Spearman’s rank-order correlation,"ρ = .468, p = .008","ρ = .468, p = .008",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,41,Notes,Author 1,Non-parametric,yes,"p =.394, p = .031","p =.394, p = .031",Fully reproducible,Author 1,Both reproducible,"Took a long time because I had to go through my  notes on how to set up the correlation on spss. However, as labels were clearly  transported from the csv data (I had to convert xlsx to csv for spss to read it properly) the results were easy to reproduce and the variables were easy to locate.",N/A
40,10.1037/stl0000412,Scholarship of Teaching and Learning in Psychology,USA,Quantitative,Chi-square difference test,"Δχ²(2) = 10.31, p < .01.","Δχ²(2) = 10.31, p < .01.",Fully reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,59,Notes,Author 1,Parametric,yes,"Δχ²(2) = 16.3, p < .005.","Δχ²(2) = 16.13, p < .005.",Not reproducible,Author 1,Only key result was reproducible,"The script was 1569 lines and I had to run it to the end to get the result. However, I can not complain as it was very smooth and everything ran correctly.",N/A
41,10.1177/00986283251313760,Teaching of Psychology,USA,Quantitative,Paired samples t-test,"t(36) = 8.53, p < .001, d = 1.56","t (29) = 8.53, p < .001, d = 1.56",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,49,Notes,Author 1 ,Parametric,yes,"t (36) = 6.15, p < .001, d = 1.14","t(28) = 6.15, p < .001, d = 1.14",Fully reproducible,Author 1 ,Both reproducible,"Very easy and straightforward. Numbers came out negative but that is still reproducible as the authors could have used absolute value of the authors implemented the formula the other way around (most importantly: numbers are the same). However, the degrees of freedom are off by 5.  When I included all cases to match the df, the numbers changed and were no longer reproducible, but when I re-read the article I saw that they did not write what the d.f's were in the article, but they wrote that data was from 37 participants and therefore should have reported that the results are based on those with missing data (d.f. 29). Is this reproducible?","Confirmed: This counts as a successful reproduction I think. The authors haven’t stated the DF for these results. They should have said something about missing data somewhere, but the fact that they didn’t doesn’t invalidate the point that we’re able to reproduce the numbers that they did report.  "
42,10.1177/00986283251335299,Teaching of Psychology,USA,Mixed methods,Paired samples t-test,"t(25) = −3.07, p = 0.005, d = 0.60, 95% CI [0.20, 1.03]","t(25) = −3.07, p = 0.005, d = 0.60, 95% CI [0.20, 1.03]",Fully reproducible,Familiar,csv,yes,SPSS,no,N/A,5,Notes,Author 1,Parametric,no,, ,,,,"One of the simplest datasets, just conducted a paired samples t test and got the exact numbers",N/A
43,10.1177/00986283231218943,Teaching of Psychology,Germany,Quantitative,2×2×2 mixed ANOVA,"F(1, 64) = 5.33, p = .024, ηp² = .08.","F(1, 64) = 5.33, p = .024, ηp² = .08.",Fully reproducible,Syntax,csv + sav,yes,SPSS,yes,yes,13,Notes,Author 1,Parametric,yes,"F(1, 64) = 19.09, p < .001, ηp² = .23","F(1, 64) = 19.09, p < .001, ηp² = .23",Fully reproducible,Author 1,Both reproducible,Syntax available and led to successfully reproduced results.,N/A
44,10.1177/00986283231199454,Teaching of Psychology,USA,Quantitative,2 x 2 x 2 between-subjects MANOVA,"F(7, 199) = 12.75, p < .001, ηp² = .31","F(7, 199) = 12.75, p < .001, ηp² = .31",Fully reproducible,Unfamiliar,xlsx,yes,SPSS,no,N/A,115,Video,Author 2,Parametric,yes,"F(7, 199)= 0.65, p = .714, ηp² = .02. ","F(7, 199)= 0.65, p = .714, ηp² = .02. ",Fully reproducible,Author 2,Both reproducible,"I followed the paper’s design by creating Highmag, presencequize, and Group from V6 to run a 2×2×2 MANOVA on seven teaching effectiveness items. At first, I mistakenly filtered by METADATA, thinking it referred to participant status, but later realized it indicated Experiment 1 vs. 2. I corrected this and used the actual status variable for faculty vs. student. The main issue I encountered was missing data—while most DVs had 213 participants, two variables (helpful and challenging) only had data for 150, which reduced power and led to a smaller F and ηp² than reported. I tried various GLM combinations and confirmed that this missingness was the cause. CHATGPT suggested removing a part of the 2x2x2 to make it 2x2 (removing participant statust) but that is incorrect and not a solution. Also, the authors did not specify how I should deal with any missing data (e.g. use means).","The condition variable needs to be split into two variables, which can then be used in a 2 x 2 x 2 MANOVA with the 7 teaching evaluation variables as DVs (after first selecting only Experiment = 1.  "
45,10.1177/00986283241247181,Teaching of Psychology,Singapore,Quantitative,Friedman test,"χ²(3) = 1,321.10, p < .001, W = 0.81.","χ²(3) = 1,321.10, p < .001, W = 0.81.",Fully reproducible,Unfamiliar,csv,yes,SPSS,no,N/A,24,Video,Author 1,Non-parametric,no,,,,,,Followed the video and led to perfectly reproducible results. AVG compostive variables were already included in the dataset so I did not have to do anything.,N/A
46,10.1177/00986283231211535,Teaching of Psychology,USA,Quantitative,One-way ANOVA ,"F(2, 376) = 71.21, p < .001; η² = .28 ","F(2, 376) = 71.21, p < .001; η² = .27",Not reproducible,Familiar,sav ,no,SPSS,no,N/A,29,Notes,Author 1 ,Parametric,no,,,,,,"Fully reproducible / (Comment added after author 2 verification): ""But the partial eta squared value is .274 on SPSS output, meaning it does not round up to the reported .28 value.""","You had the first result as reproducible. If you look at all its decimals though, there is a rounding error. "
47,10.1177/00986283231226187,Teaching of Psychology,USA,Quantitative,2x3 Mixed ANOVA,"F(1, 119) = 4.98, p = .027, ηp² = .040","F(1, 119) = 4.98, p = .027, ηp² = .040",Fully reproducible,Syntax,sav ,no,SPSS,yes,yes,11,Notes,Author 1,Parametric,yes,"F(2, 238) = 2.90, p = .057, ηp² = .024","F(2, 238) = 2.90, p = .057, ηp² = .024",Fully reproducible,Author 1,Both reproducible,"Ran the syntax and found the result in the ""Test of between subject effects (condition)"". For the second result it was in factor1*condition",N/A
48,10.1177/00986283241292358,Teaching of Psychology,USA,Quantitative,Independent samples t-test,"t(64) = 2.42, p = .018, d = 0.60","t(64) = 2.44, p = .018, d = 0.60. ",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,20,Notes,Author 1 ,Parametric,no,,,,,,"Originally used the wrong file, as the excel sheet uploaded had three sheets and spss chose the irrelevant field by default. I then edited the excel sheet to use the ""scores"" sheet and reproduced all results successfully except for the t value which was inflated by 0.015. I don't think my reproduction was in any way wrong as the p value (two-sided) and cohens d were exactly the same","Confirmed: This looks like an error with copying numbers. Everything lines up (including the descriptives), except for the t value. We need a category for these that is distinct from ‘we’ve got no idea’! Copy and paste errors are not ideal, but they’re qualitatively different to something that is genuinely not reproducible.  "
49,10.1177/00986283251325842,Teaching of Psychology,USA,Quantitative,Paired samples t-test,"t(27) = 1.20, p = .119, d = 0.23","t(27) = 1.20, p = .119, d = 0.23 ",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,22,Notes,Author 1,Parametric,yes,"t(27) = 0.47, p = .319, d = 0.09","t(27) = 0.47, p = .319, d = 0.09",Fully reproducible,Author 1,Both reproducible,"I first used the file with the written avg variables only (missing the actual scores from the MCQ's). I then noticed they had an additional qualtrics file (one for analysis and another excel sheet that was more raw). I made a copy for the sheet with the clean data and immediately recognized the MC average compositve variables the authors provided. Once I plugged them into the paired samples t-test, I fully reproduced the results",N/A
50,10.1037/stl0000444,Scholarship of Teaching and Learning in Psychology,USA,Mixed methods,Wilcoxon Signed-Rank t tests,"z = 12.36, p < .001, r = .47","z = -12.38, p < .001, r = .86",Not reproducible,Familiar,xlsx,yes,SPSS,no,N/A,79,Notes,Author 2,Non-parametric,yes," z = 12.36, p < .001, r = .43","z = -12.35, p < .001, r = .87. ",Not reproducible,Author 2,Both not reproducible,"Files wont import properly, I created a csv file and it worked. Then I created my own Whitemenmean variable using the exact list of names reported in the original excel sheet. Ran Wilcoxon signed-rank test as per the authors, but consistently obtained higher effect size (r = .86 vs. reported .47). Tried computing using SUM instead of MEAN but result got even further off. Issue likely lies in the composition of the white men variableeither an author-side misreport or different variable list than disclosed. Women of Color mean was correct and matched expected rank comparisons.","I’m not sure how they’ve calculated the effect size. I think it is z/sqrt(N), which would be r=.86. also, my white men mean is 1.42, not 1.15. "
51,10.1177/14757257231197359,Psychology Learning and Teaching,USA,Mixed methods,Independent samples t-test,"t(100) = 2.79, p < .01, d = 0.55","t(100) = 2.79, p < .01, d = 0.55",Fully reproducible,Familiar,xlsx,yes,SPSS,no,N/A,12,Notes,Author 1,Parametric,yes,"t(100) = -0.95, p < .01, d = -0.19","t(100) = -0.95, p < .01, d = -0.19",Fully reproducible,Author 1,Both reproducible,"Not a complex dataset. Easy to locate which variables go where. Results for t-stat and cohens d reproduced perfectly, however the p value was not <0.01 as reported, it was p = 0.003 for a one sided test and .006 for a two-sided test. I initially thought it was not reproducible, but it turns out it is. Reporting <0.01 is appropriate for a p-value of  0.003 or 0.006",N/A
52,10.1177/14757257251340796,Psychology Learning and Teaching,Germany,Quantitative,Mixed-design ANOVA,"F(5, 334) = 1.72, p = .13, ηp² = .03","F(5, 269) = 2.037, p = .074, partial eta squared = .036",Not reproducible,Familiar,csv,yes,SPSS,no,N/A,68,Notes,Author 2,Parametric,no,,,,,,"Unsure of which variables represented “Interest” because the dataset didn’t include variable labels, and the paper didn’t clearly map items to constructs. I tried several combinations of variables that looked like Likert scales, but none aligned with the reported statistics. Eventually, I settled on v_31 to v_34 based on their scale range and internal consistency. They seemed to match a 4-item interest measure. Even though the df didn’t match the paper (they report df = 334 and I got 362), the result structure was close, and the domain × priming interaction was also similar in pattern. I still believe this dataset is unusually difficult to reproduce due to missing labels and unclear item mappings, but this attempt got me the closest to their reported Interest results.","This one is a real head scratcher. The variables with all the -77s on them appear to distinguish between the 5 priming conditions. And then control participants are presumably people who don’t have anything other than -77s between v_66 and v_81. I’d say that interest in the four domains is captured in v_31 to v_34, but again this is mostly a reasonable guess based on the info in the online supplements. They say that there were two types of attention checks, and I think that these are V_78 to v_81 (for the five priming conditions) plus v_82 (for everyone). They also say that 28 people were excluded based on failing these plus some other things (e.g., “seriousness check”). If I exclude based on both types of attention check (which the paper seems to imply), I lose way too many people. If I exclude based on one or the other, I don’t lose enough. And this is, of course, assuming that I’m even picking the correct items and then handing them in the ways that I think I am! I’ve attached as far as I got. I did the sorting into priming conditions manually, so there is no code for this. This one is a mess."
53,10.1037/stl0000306,Scholarship of Teaching and Learning in Psychology,USA,Quantitative,Independent samples t-test,"t(246) = 3.29, p = .00, d = 0.42.","t(246) = 3.29, p = .00, d = 0.42.",Fully reproducible,Familiar,sav ,no,SPSS,no,N/A,19,Notes,Author 1,Parametric,yes,"t(246) = 2.79, p = .01, d = 0.35","t(246) = 2.79, p =.01, d = 0.35",Fully reproducible,Author 1,Both reproducible,"Originally got the wrong result, because the df was up by 2. I then noticed there is a ""filter variable"" with 2 cases being 0 but the rest were valued as 1. So I selected cases with ""1"" and got the right results. "," I don’t think that we actually know that  p = .001 from the paper. It is just “.00” in the table, so def < .01. Cell O54 and S54 also."
54,10.1177/00986283221100276,Teaching of Psychology,Australia,Quantitative,Paired samples t-test,"Information for replicability Mdiff = 2.91 (SD = 1.50), 95% CI [2.72, 3.10]","Information for replicability Mdiff = 2.91 (SD = 1.50), 95% CI [2.72, 3.10]",Fully reproducible,Syntax,csv + Rstudio,yes,SPSS,yes,yes,13,Notes,Author 1,Parametric,yes,"Critical thinking Mdiff = 1.91 (SD = 1.47), 95% CI [1.73, 2.10]","Critical thinking Mdiff = 1.91 (SD = 1.47), 95% CI [1.73, 2.10]",Fully reproducible,Author 1,Both reproducible,"Very organised dataset. Just had to create numeric variables as ""N/A"" results made the variable a string one, so those were recoded and then I conducted the paired samples t test. ","Yes, there is code. It is here: https://osf.io/rtje8/files/f0a6fa14-474f-44ad-ae25-9e9eafc308b0?view_only=  . It is pretty clever. You need to fix a few small things, but then when you run Manuscript.RMD, it knits the whole manuscript as a word doc. I have verified that the values we were looking for are in there and are reproducible."
55,10.1177/14757257241301733,Psychology Learning and Teaching,USA,Quantitative,Welch's one way ANOVA,"F(3, 79.57) = 35.64, p < .001, ω² = .273, BF₁₀ = 2.06 × 10⁸","F(3, 79.57) = 35.64, p < .001, ω² = .273, BF₁₀ = 2.06 × 10⁸",Fully reproducible,Unfamiliar,csv,yes,JASP,no,N/A,24,Video,Author 1,Parametric,no,,,,,,"Todd grande video is perfect. I skipped over the testing homogeneity tests and went straight for how to do the welch test. After I learnt it, I reproduced the results on spss. However, bayes factor needed to be on JASP. Therefore, I just repeated the steps on JASP and got the results perfectly.",N/A
56,10.1177/00986283211008857,Teaching of Psychology,USA,Quantitative,Descriptive statistics,> 95% of 23 respondents to ‘the fossil shark regression activity was engaging ...selecting ‘agreed’ or ‘strongly agreed’.,95.7% (> 95% of 23 respondents),Fully reproducible,Familiar,csv,yes,SPSS,no,N/A,9,Notes,Author 1,N/A,no,,,,,,"The scores were 3, 4, and 5 for each participant. 4 and 5 are ""agreed and strongly agreed"". So I just recoded the variable into 3 as (1) and 4/5 as (2) before running frequencies to get the correct answer.",N/A
57,10.1177/1475725719877590,Psychology Learning and Teaching,USA,Quantitative,Bayesian ANOVA,BF₁₀ = 0.96,BF₁₀ = 0.96,Fully reproducible,Syntax,csv + JASP + Rstudio,yes,JASP,yes,yes,47,Notes,Author 1,Parametric,no,,,,,,"The JASP ""main analyses file"" did not work. I tried to import it mutiple times but the app would keep crashing. So I imported the original csv. However, the fixed factor ""Article"" was labelled as positive, negative, and none. I had to compute this into 0 and 1 (0 for negative and none/positive for none). I then had to also filter the dataset after I reproduced the wrong result. I found this from the article that said ""The main analysis was restricted to 251 participants who met our a priori criterion of correctly answering all six comprehension questions."" It took a while to understand how to filter on JASP but I applied a  filter for the comprehensio variable to equal 6. Only at the end of all of this did I reproduce the result. Not a complex dataset, just took long because of my inexperience with JASP.",N/A
58,10.1177/00986283221095045,Teaching of Psychology,USA,Quantitative,G-test of Independence,"G(5) = 118.29, V = .44","G(5) = 118.29, V = .43",Not reproducible,Syntax,sav ,no,SPSS,yes,yes,12,Notes,Author 1,Non-parametric,yes,"G(5) = 15.97,  V = .16","G(5) = 15.97,  V = .16",Fully reproducible,Author 1,Only second result was reproducible,"Opened spss and immediately pasted the syntax. All numbers look great and rounded well, except for Cramer's v which should have been rounded to .43 not .44",Author 2 confirms.
59,10.1177/00986283221114196,Teaching of Psychology,USA,Quantitative,Independent samples t-test,"t(591) = 5.37, p < .001, d = 0.76, 95% CI [10.27, 22.07].","t(591) = 5.37, p < .001, d = 0.90, 95% CI [10.26, 22.08]",Not reproducible,Syntax,csv + Rstudio,yes,Rstudio,yes,yes,27,Notes,Author 1,Parametric,no,,,,,,"Copied syntax all the way. There was an error in one line but I fixed it. Also, the output for the result was not showing after the sink() command. However, I got it at the end, it matched the output picture the authors had. Yet, they did not have any CI's or cohens d value in their ouput, so I ran those lines and got the same upper and lower CI (just a minor rounding difference  for upper ci) and the cohens d was identical, only after working out that the authors used the contrast  based on the regression model. So I used the estimated mean difference (16.17) and the model’s residual SD (21.23). That gave me the  reported "" d of 0.76"", which matches what the authors stated.",N/A
60,10.1177/00986283211043779,Teaching of Psychology,USA,Quantitative,2×2 between-subjects factorial ANOVA,"F(1, 322) = 5.17, p = .02, ηp²  = .02","F(1, 322) = 5.17, p = .02, ηp²  = .02",Fully reproducible,Syntax,sav ,no,SPSS,yes,yes,66,Notes,Author 2,Parametric,yes,"F(1, 322) = 42.95, p < .001, ηp²  = .12","F(1, 322) = 42.95, p < .001, ηp²  = .12",Fully reproducible,Author 1 ,Both reproducible,"Copied the syntax immediately. Almost every single value in the dataset was reported correct. Even the means and sds of field belonging were correct. It is just the f value that is off for the result chosen. I have read and reread the whole syntax multiple times (hence the long reproducible time), everything checks out except for the F stat of the main result chosen","I’ve reproduced the first result. The second was already reproducible. This one reproduces. The issue is with the winsorizing of fieldbelong_high. You need to take the lowest value on this variable and make it the same as the next one up (2.33), and then do the opposite for the highest value (make it 4.89). Then the results will reproduce. I think this is the same issue as with some of the others that are on code."
