id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note,wilks_lambda
1,study_3,10.1037/stl0000432,recomputed_from_raw_data_type_III_manova,manova,"F(3, 164) = 2.14, p = .10, Wilks' lambda = .96, eta_p2 = .04",0.1,=,omnibus,eta_p2,0.04,0.09731048243233506,=,omnibus,NA,NA,2.1389606390053655,3,164,NA,NA,NA,NA,NA,NA,170,170,eta_p2_from_wilks,0.037654027258524625,0.9623459727414754,NA,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors",Whether the effect of syllabus snapshot presence differs depending on instructor snapshot presence across the three perception outcomes.,Syllabus snapshot x instructor snapshot interaction on perception outcomes,Manual Type-III multivariate linear model reconstruction; Wilks exact F transformation for one-df effect,ready_manova_diagnostic_not_direct_jzs,"Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",0.9623459727414754
2,study_3,10.1037/stl0000432,recomputed_from_raw_data_type_III_manova,manova,"F(3, 164) = 0.78, p = .51, Wilks' lambda = .99, eta_p2 = .01",0.51,=,omnibus,eta_p2,0.01,0.5076886452135867,=,omnibus,NA,NA,0.7782452647851081,3,164,NA,NA,NA,NA,NA,NA,170,170,eta_p2_from_wilks,0.014036369392150472,0.9859636306078495,NA,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors","Main effect of syllabus snapshot presence across teacher competence, teacher care, and general course/instructor perceptions.",Syllabus snapshot main effect on perception outcomes,Manual Type-III multivariate linear model reconstruction; Wilks exact F transformation for one-df effect,ready_manova_diagnostic_not_direct_jzs,"Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",0.9859636306078495
