"id","study_id","study_DOI","recomputation_status","stat_test","reported_result","p_value","p_operator","p_sidedness","t_value","t_df","f_value","f_df1","f_df2","z_value","chi2_value","chi2_df","r_value","n1","n2","n_total","n_eff","effect_size_type","effect_size_value","estimate","se_estimate","raw_data_file","raw_variable_names","model_formula","contrast_direction","extraction_note"
35,"study_47","10.1177/00986283231226187","recomputed_from_author_spss_glm","mixed_anova","F(1, 119) = 4.98, p = .027, eta_p2 = .040",0.027473862971586,"=","omnibus",NA,NA,4.98267066954115,1,119,NA,NA,NA,NA,63,58,121,NA,"eta_p2",0.0401884444223804,NA,NA,"data/raw/study_47/Outside_Assistance_Dataset.sav","Condition; PercentRember; PercentCorrectMC; PercentCorrectOE","SPSS GLM PercentRember PercentCorrectMC PercentCorrectOE BY Condition /WSFACTOR=factor1 3 Polynomial /WSDESIGN=factor1 /DESIGN=Condition","between-subjects main effect of testing condition on average predicted future performance","Recomputed from the author's SPSS mixed GLM using listwise-complete cases on Condition, PercentRember, PercentCorrectMC, PercentCorrectOE. Within-subject levels are ordered as in the SPSS syntax: PercentRember, PercentCorrectMC, PercentCorrectOE. n_total = 121; Condition levels = 1; 2; group counts = 1:63; 2:58. Row 35 extracts the between-subjects Condition effect from Tests of Between-Subjects Effects."
36,"study_47","10.1177/00986283231226187","recomputed_from_author_spss_glm","mixed_anova","F(2, 238) = 2.90, p = .057, eta_p2 = .024",0.0569589309954774,"=","omnibus",NA,NA,2.900201921865,2,238,NA,NA,NA,NA,63,58,121,NA,"eta_p2",0.0237916088418292,NA,NA,"data/raw/study_47/Outside_Assistance_Dataset.sav","Condition; PercentRember; PercentCorrectMC; PercentCorrectOE","SPSS GLM PercentRember PercentCorrectMC PercentCorrectOE BY Condition /WSFACTOR=factor1 3 Polynomial /WSDESIGN=factor1 /DESIGN=Condition","testing condition by predicted-performance format interaction across free recall, multiple-choice, and short-answer predictions","Recomputed from the author's SPSS mixed GLM using listwise-complete cases on Condition, PercentRember, PercentCorrectMC, PercentCorrectOE. Within-subject levels are ordered as in the SPSS syntax: PercentRember, PercentCorrectMC, PercentCorrectOE. n_total = 121; Condition levels = 1; 2; group counts = 1:63; 2:58. Row 36 extracts the factor1 x Condition effect from Tests of Within-Subjects Effects, sphericity assumed."
