id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
10,study_14,10.1177/1475725719859453,recomputed_from_raw_data_pairwise_complete,pearson_correlation,"r(56) = .46, p < .001",0.001,<,two_sided,correlation_r,0.46,2.801095267522945e-4,=,two_sided,3.876999222244787,56,NA,NA,NA,NA,NA,NA,0.4600143435956783,NA,NA,58,58,correlation_r,0.4600143435956783,NA,NA,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; grad_replication,Pearson correlation: reform with grad_replication; pairwise complete observations,positive association between reform and grad_replication,reform_with_graduate_replication_teaching,stats::cor.test(method = 'pearson'),ready_correlation_diagnostic,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 56; recomputed df = 56; pairwise N = 58."
11,study_14,10.1177/1475725719859453,recomputed_from_raw_data_pairwise_complete,pearson_correlation,"r(228) = .30, p < .001",0.001,<,two_sided,correlation_r,0.3,5.3489935621111325e-6,=,two_sided,4.661225131634766,228,NA,NA,NA,NA,NA,NA,0.29496284411487556,NA,NA,230,230,correlation_r,0.29496284411487556,NA,NA,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; Adv_topics,Pearson correlation: reform with Adv_topics; pairwise complete observations,positive association between reform and Adv_topics,reform_with_advanced_undergraduate_teaching,stats::cor.test(method = 'pearson'),ready_correlation_diagnostic,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 228; recomputed df = 228; pairwise N = 230."
