id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
25,study_39,10.1037/stl0000385,recomputed_from_raw_data,spearman_correlation,"rho = .468, p = .008",0.008,=,two_sided,spearman_rho,0.468,0.007855255636921065,=,two_sided,NA,NA,NA,NA,NA,NA,NA,NA,0.4684981537600316,NA,NA,31,31,spearman_rho,0.4684981537600316,0.4684981537600316,NA,Open_Pedagogy_Student_Perceptions.sav,Howmotivatingwasitthatthefinalproductofthisprojectwas; Ibelievemyphotographsadddiversitytothecollectionofpubl,"stats::cor.test(motivation_open_availability, photographs_add_diversity, method = 'spearman', exact = FALSE)",More motivation about the openly available final product is associated with stronger belief that photographs add diversity.,Motivation for open availability correlated with perceived contribution to diversity,stats::cor.test Spearman rho with pairwise complete observations,ready_correlation_diagnostic,Recomputes Table 1 Spearman correlation. Pairwise N = 31. R uses the large-sample Spearman p-value because Likert items contain ties.
26,study_39,10.1037/stl0000385,recomputed_from_raw_data_extraction_typo_corrected,spearman_correlation,"rho = .394, p = .031",0.031,=,two_sided,spearman_rho,0.394,0.03141382760977439,=,two_sided,NA,NA,NA,NA,NA,NA,NA,NA,0.39357345499224483,NA,NA,30,30,spearman_rho,0.39357345499224483,0.39357345499224483,NA,Open_Pedagogy_Student_Perceptions.sav,Didthiscourseseemmoreengagingorlessengagingthancourses; HowmuchdidyoulikesharingyourphotoswiththeworldonFlic,"stats::cor.test(course_engagement_comparison, liked_sharing_with_world_flickr, method = 'spearman', exact = FALSE)",Courses perceived as more engaging are associated with greater liking of sharing photographs with the world via Flickr.,Course engagement comparison correlated with liking Flickr/world sharing,stats::cor.test Spearman rho with pairwise complete observations,ready_correlation_diagnostic,"Recomputes Table 1 Spearman correlation. Pairwise N = 30. The original index row appears to contain a typo ('p = .394'); the article reports rho = .394, p = .031."
