id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
39,study_51,10.1177/14757257231197359,recomputed_from_raw_data,independent_t_test,"t(100) = 2.79, p < .01, d = 0.55",0.01,<,two_sided,cohens_d,0.55,0.0064027514545149595,=,two_sided,2.7850391786323447,100,NA,NA,NA,NA,NA,NA,NA,54,48,102,25.41176470588235,cohens_d,0.5524766101358515,0.4467592592592591,0.16041399441951484,data/raw/study_51/Untitled3.sav,control0share1; knowledgeskills,"knowledgeskills ~ control0share1; Student independent-samples t-test, equal variances",public sharing condition minus closed control condition; control0share1 1 minus 0,perceived_learning_public_sharing_vs_closed_control,stats::t.test(var.equal = TRUE) on raw vectors,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Public n = 54; closed n = 48; public mean = 3.842593; closed mean = 3.395833. "
40,study_51,10.1177/14757257231197359,recomputed_from_raw_data,independent_t_test,"t(100) = -0.95, d = -0.19, 95% CI [-0.58, 0.20] (Table 2; no significance marker)",NA,,two_sided,cohens_d,-0.19,0.3459848212862602,=,two_sided,-0.9468752593737334,100,NA,NA,NA,NA,NA,NA,NA,54,48,102,25.41176470588235,cohens_d,-0.18783449709931843,-0.18441358024691334,0.19476016341253352,data/raw/study_51/Untitled3.sav,control0share1; anxiety,"anxiety ~ control0share1; Student independent-samples t-test, equal variances",public sharing condition minus closed control condition; control0share1 1 minus 0,anxiety_public_sharing_vs_closed_control,stats::t.test(var.equal = TRUE) on raw vectors,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Public n = 54; closed n = 48; public mean = 2.030864; closed mean = 2.215278. "
