id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
3,study_05,10.1037/stl0000136,recomputed_from_raw_data,independent_t_test,"t(154) = 3.26, p < .001, d = 0.74",0.001,<,two_sided,cohens_d,0.74,0.0013571817312888975,=,two_sided,3.2631700654818907,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.608974358974358,cohens_d,0.7369062993242013,0.12275253350768234,0.037617571577457695,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; 16ItemQuizFollowupPerformance,"16ItemQuizFollowupPerformance ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,senior_year_16_item_quiz_performance,stats::t.test(var.equal = TRUE) on raw vectors,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 0.809783; nonpsychology mean = 0.68703; psychology SD = 0.142868; nonpsychology SD = 0.170209."
4,study_05,10.1037/stl0000136,recomputed_from_raw_data,independent_t_test,"t(154) = 16.06, p < .001, d = 3.63",0.001,<,two_sided,cohens_d,3.63,1.0395494913993821e-34,=,two_sided,16.0557429910438,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.608974358974358,cohens_d,3.625792684109871,6.609022556390977,0.4116298174477267,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; NumPsychClass,"NumPsychClass ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,number_of_additional_psychology_courses,stats::t.test(var.equal = TRUE) on raw vectors,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 8; nonpsychology mean = 1.390977; psychology SD = 2.746899; nonpsychology SD = 1.618242."
