id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
41,study_53,10.1037/stl0000306,recomputed_from_raw_data,independent_t_test,"t(246) = 3.29, p = .00, d = 0.42",0.001,<,two_sided,cohens_d,0.42,0.0011501265641196984,=,two_sided,3.2896018597903254,246,NA,NA,NA,NA,NA,NA,NA,126,122,248,61.983870967741936,cohens_d,0.4178342063907556,0.24863387978142093,0.07558175438205417,data/raw/study_53/Study_1_SPSS.sav,Condition_string; filter_$; ImmediacyBehaviors_verbal,"ImmediacyBehaviors_verbal ~ Condition_string, filtered to filter_$ == 1; Student independent-samples t-test, equal variances",eye-level condition minus lecture-hall condition,verbal_immediacy_eye_level_vs_lecture_hall,stats::t.test(var.equal = TRUE) on raw vectors after filter_$ == 1,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Eye-level n = 126; lecture-hall n = 122; eye-level mean = 3.313725; lecture-hall mean = 3.065092."
42,study_53,10.1037/stl0000306,recomputed_from_raw_data,independent_t_test,"t(246) = 2.79, p = .01, d = 0.35",0.01,=,two_sided,cohens_d,0.35,0.005633827021668371,=,two_sided,2.792941037337401,246,NA,NA,NA,NA,NA,NA,NA,126,122,248,61.983870967741936,cohens_d,0.35475001278921603,0.2802143211979278,0.10032947973189757,data/raw/study_53/Study_1_SPSS.sav,Condition_string; filter_$; Likeability_Measure,"Likeability_Measure ~ Condition_string, filtered to filter_$ == 1; Student independent-samples t-test, equal variances",eye-level condition minus lecture-hall condition,likeability_eye_level_vs_lecture_hall,stats::t.test(var.equal = TRUE) on raw vectors after filter_$ == 1,ready_jzs_ttest,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Eye-level n = 126; lecture-hall n = 122; eye-level mean = 5.430736; lecture-hall mean = 5.150522."
