id,study_id,study_DOI,analysis_label,stat_test,reported_result,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,statistic_source,notes
3,study_5,10.1037/stl0000136,key_result_senior_quiz_performance,independent_t_test,"t(154) = 3.26, p = .001, d = 0.74",0.0013571817312888975,=,two_sided,3.2631700654818907,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.608974358974358,cohens_d,0.7369062993242013,0.12275253350768234,0.037617571577457695,recomputed_from_raw_data,"Recomputed from raw CSV using Student independent-samples t-test. Group variable: Speciality; 1 = psychology students, 0 = nonpsychology students. Psychology students n1 = 23; nonpsychology students n2 = 133. Mean psychology = 0.809783; mean nonpsychology = 0.68703. SD psychology = 0.142868; SD nonpsychology = 0.170209. Reported article d = 0.74; recomputed pooled-SD d stored in effect_size_value."
4,study_5,10.1037/stl0000136,second_result_number_of_additional_psychology_courses,independent_t_test,"t(154) = 16.06, p = .001, d = 3.63",1.0395494913993821e-34,=,two_sided,16.0557429910438,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.608974358974358,cohens_d,3.625792684109871,6.609022556390977,0.4116298174477267,recomputed_from_raw_data,"Recomputed from raw CSV using Student independent-samples t-test. Group variable: Speciality; 1 = psychology students, 0 = nonpsychology students. Psychology students n1 = 23; nonpsychology students n2 = 133. Mean psychology = 8; mean nonpsychology = 1.390977. SD psychology = 2.746899; SD nonpsychology = 1.618242. Reported article d = 3.63; recomputed pooled-SD d stored in effect_size_value."
8,study_13,10.1177/00986283221142016,key_result_subjective_knowledge,welch_independent_t_test,"t_sat(455.40) = 14.45, p < .0005, d = 1.35",3.2360126016710324e-39,=,two_sided,14.447693281497335,455.39777283104985,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d,1.3540448748312182,1.7861216890919862,0.12362677240521232,recomputed_from_raw_data,"Recomputed from SPSS .sav using Welch independent-samples t-test. Group variable: condition; 1 = education, 0 = control. Education n1 = 195; control n2 = 303. Mean education = 5.526496; mean control = 3.740374. SD education = 1.264892; SD control = 1.464528. Reported article d = 1.35. effect_size_value stores d transformed as 2*t/sqrt(df), matching the article's reported d convention. The conventional pooled-SD Cohen's d recomputed from raw data is 1.285106."
9,study_13,10.1177/00986283221142016,second_result_objective_knowledge,welch_independent_t_test,"t_sat(466.17) = 9.79, p < .0005, d = 0.91",1.0387197857941702e-20,=,two_sided,9.790970952113485,466.1677644263239,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d,0.9069527008039099,0.15842599644579847,0.01618082590793516,recomputed_from_raw_data,"Recomputed from SPSS .sav using Welch independent-samples t-test. Group variable: condition; 1 = education, 0 = control. Education n1 = 195; control n2 = 303. Mean education = 0.657436; mean control = 0.49901. SD education = 0.162086; SD control = 0.196237. Reported article d = 0.91. effect_size_value stores d transformed as 2*t/sqrt(df), matching the article's reported d convention. The conventional pooled-SD Cohen's d recomputed from raw data is 0.862712."
