"id","study_id","study_DOI","recomputation_status","stat_test","reported_result","p_value","p_operator","p_sidedness","t_value","t_df","f_value","f_df1","f_df2","z_value","chi2_value","chi2_df","r_value","n1","n2","n_total","n_eff","effect_size_type","effect_size_value","estimate","se_estimate","raw_data_file","raw_variable_names","model_formula","contrast_direction","extraction_note"
44,"study_60","10.1177/00986283211043779","recomputed_from_author_spss_unianova","factorial_between_anova","Expected field belonging: F(1, 322) = 5.32, p = .022, eta_p2 = .016",0.0236499529367053,"=","omnibus",,,5.16911976585038,1,322,,,,,163,163,326,,"eta_p2",0.0157995344106737,0.120654396728016,,"data/raw/study_60/Syllabus_Safety_Cues_Instructor_Gender_Data_Sp21_OSF.sav","IV_profgender; IV_safetycues; fieldexp_1-fieldexp_9; fieldexp_4 reverse-coded; fieldbelong_high recomputed/winsorized","fieldbelong_high_analysis ~ IV_profgender * IV_safetycues, Type-III SPSS UNIANOVA logic with sum contrasts","identity-safety-cue syllabus versus control syllabus on expected social-psychology field belonging","Recomputed from the author SPSS syntax: fieldexp_4 was reverse-coded as 6-fieldexp_4, the nine field belonging items were averaged, 3-SD outliers were winsorized to the nearest non-outlier value, and fieldbelong_high was analysed with UNIANOVA BY IV_profgender IV_safetycues /METHOD=SSTYPE(3) /DESIGN=IV_profgender IV_safetycues IV_profgender*IV_safetycues. Result: F(1, 322) = 5.169120, p = 0.02365, eta_p2 = 0.015800. Control n = 163, safety n = 163; control M = 3.472393, safety M = 3.593047."
45,"study_60","10.1177/00986283211043779","recomputed_from_author_spss_unianova","factorial_between_anova","Inclusive classroom impression: F(1, 322) = 42.95, p < .001, eta_p2 = .118",2.22660053111215e-10,"<","omnibus",,,42.9518507980829,1,322,,,,,163,163,326,,"eta_p2",0.117691828947175,12.7914110429448,,"data/raw/study_60/Syllabus_Safety_Cues_Instructor_Gender_Data_Sp21_OSF.sav","IV_profgender; IV_safetycues; include_1; include_1 winsorized","include_1_analysis ~ IV_profgender * IV_safetycues, Type-III SPSS UNIANOVA logic with sum contrasts","identity-safety-cue syllabus versus control syllabus on perception that the professor is trying to create an inclusive classroom environment","Recomputed from the author SPSS syntax: include_1 was winsorized for 3-SD outliers and analysed with UNIANOVA BY IV_profgender IV_safetycues /METHOD=SSTYPE(3) /DESIGN=IV_profgender IV_safetycues IV_profgender*IV_safetycues. Result: F(1, 322) = 42.951851, p = 2.2266e-10, eta_p2 = 0.117692. Control n = 163, safety n = 163; control M = 77.656442, safety M = 90.447853."
