id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
6,study_10,10.1037/stl0000338,recomputed_from_raw_data,factorial_between_anova,"GHQ-c social dysfunction: main effect of semester, F(2, 1043) = 103.50, p < .001",0.001,<,omnibus,eta_p2_not_reported_recovered_from_F,NA,9.929653960744511e-42,=,omnibus,NA,NA,103.49934031616623,2,1043,NA,NA,NA,NA,NA,NA,1049,NA,eta_p2_from_F,0.16559911929476498,NA,NA,data/raw/study_10/master.anonymizedOSF.csv,GHQc.total; replicate; university,"GHQc.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-c social dysfunction,ghqc_social_dysfunction_semester_main_effect,stats::aov() ANOVA table,ready_anova_diagnostic_not_direct_jzs,"Recovered Table 2 main effect of data collection semester for GHQ-c. Filtered N = 1049. This corrects the earlier script, which targeted the wrong ANOVA row."
7,study_10,10.1037/stl0000338,recomputed_from_raw_data,factorial_between_anova,"GHQ-b anxiety/insomnia: main effect of semester, F(2, 1043) = 25.51, p < .001",0.001,<,omnibus,eta_p2_not_reported_recovered_from_F,NA,1.532958092634304e-11,=,omnibus,NA,NA,25.50532099652211,2,1043,NA,NA,NA,NA,NA,NA,1049,NA,eta_p2_from_F,0.04662718993310172,NA,NA,data/raw/study_10/master.anonymizedOSF.csv,QHQb.total [raw-file spelling]; replicate; university,"QHQb.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-b anxiety/insomnia,ghqb_anxiety_insomnia_semester_main_effect,stats::aov() ANOVA table,ready_anova_diagnostic_not_direct_jzs,Recovered Table 2 main effect of data collection semester for GHQ-b. The public CSV uses the column name QHQb.total although the article labels the subscale GHQ-b. Filtered N = 1049.
