id,study_id,study_DOI,recomputation_status,stat_test,reported_result,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,extraction_note
28,study_41,10.1177/00986283251313760,recomputed_from_raw_data_pairwise_complete,paired_t_test,"t(36) = 8.53, p < .001, d = 1.56",2.1220678220813164e-9,=,two_sided,8.532340234397516,29,,,,,,,,,,30,,cohens_dz_paired,1.557785071562812,1.8333333333333335,0.21486875616403361,data/raw/study_41/BART Content Knowledge_Deidentified.xlsx,"PRE_Analyze, POST_Analyze",paired t-test: POST_Analyze - PRE_Analyze,post minus pre,No imputation. Analysis uses pairwise-complete PRE/POST values. The article table reports t and d but does not report df; df follows from the number of complete pairs. Positive signs reflect POST - PRE.
29,study_41,10.1177/00986283251313760,recomputed_from_raw_data_pairwise_complete,paired_t_test,"t(36) = 6.15, p < .001, d = 1.14",1.2194253887979621e-6,=,two_sided,6.151246852292457,28,,,,,,,,,,29,,cohens_dz_paired,1.1422578644469734,1.3793103448275863,0.22423264387667077,data/raw/study_41/BART Content Knowledge_Deidentified.xlsx,"PRE_Intr data, POST_Intr data",paired t-test: POST_Intrdata - PRE_Intrdata,post minus pre,No imputation. Analysis uses pairwise-complete PRE/POST values. The article table reports t and d but does not report df; df follows from the number of complete pairs. Positive signs reflect POST - PRE.
