id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
8,study_13,10.1177/00986283221142016,recomputed_from_raw_data,welch_independent_t_test,"t_sat(455.40) = 14.45, p < .0005, d = 1.35",5e-4,<,two_sided,cohens_d,1.35,3.2360126016710324e-39,=,two_sided,14.447693281497335,455.39777283104985,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d_article_t_df_transform,1.3540448748312182,1.7861216890919862,0.12362677240521232,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; subj_total,subj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,subjective_knowledge,stats::t.test(var.equal = FALSE) on raw vectors,ready_jzs_ttest_summary_level,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 1.285106. Education n = 195; control n = 303."
9,study_13,10.1177/00986283221142016,recomputed_from_raw_data,welch_independent_t_test,"t_sat(466.17) = 9.79, p < .001, d = 0.91",0.001,<,two_sided,cohens_d,0.91,1.0387197857941702e-20,=,two_sided,9.790970952113485,466.1677644263239,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d_article_t_df_transform,0.9069527008039099,0.15842599644579847,0.01618082590793516,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; obj_total,obj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,objective_knowledge,stats::t.test(var.equal = FALSE) on raw vectors,ready_jzs_ttest_summary_level,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 0.862712. Education n = 195; control n = 303."
