id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
30,study_43,10.1177/00986283231218943,recomputed_from_author_spss_repeated_measures_glm,mixed_anova,"Learning condition x question type interaction: F(1, 64) = 5.18, p = .026, eta_p2 = .08",NA,NA,NA,NA,NA,0.026160192765065492,=,omnibus,NA,NA,5.183126624922293,1,64,NA,NA,NA,NA,NA,NA,67,NA,eta_p2,0.07491894162318968,0.04732587064676616,0.023972014950550867,data/raw/study_43/Datafile.sav,Crit_Score_Testing_old; Crit_Score_Testing_New; Crit_Score_Restudy_old; Crit_Score_Restudy_New; Lecture; questiontype_crit,SPSS GLM Crit_Score_Testing_old Crit_Score_Testing_New Crit_Score_Restudy_old Crit_Score_Restudy_New BY Lecture questiontype_crit /WSFACTOR = Learning_condition 2 Polynomial Old_vs_New 2 Polynomial /WSDESIGN = Learning_condition Old_vs_New Learning_condition*Old_vs_New /DESIGN = Lecture questiontype_crit,Testing effect for reviewed/practiced content is larger than the testing-minus-restudy difference for unreviewed lecture content.,NA,NA,NA,"ROW: learning condition x question type interaction. Not a claim target; retained as published context. Recomputed from the author's SPSS GLM target using complete cases on the four criterion-score variables. The target within-subject interaction was reconstructed as the contrast (Testing_old - Testing_New) - (Restudy_old - Restudy_New), then tested as the intercept in lm(contrast ~ Lecture + questiontype_crit) using sum contrasts, matching the SPSS repeated-measures GLM with Lecture and questiontype_crit as between-subject factors and no Lecture x questiontype_crit term. n_total = 67; Lecture counts: 1=39; 2=28; questiontype_crit counts: -1=37; 1=30. Target interaction: F(1, 64) = 5.183127, p = 0.0261602, eta_p2 = 0.074919. Follow-up reviewed/tested content contrast: F(1, 64) = 5.325433, p = 0.0242607, eta_p2 = 0.076818. Follow-up unreviewed-content contrast: F(1, 64) = 0.739777, p = 0.392943, eta_p2 = 0.011427. Question-type main effect: F(1, 64) = 19.091631, p = 4.66226e-05, eta_p2 = 0.229766. Learning-condition main effect: F(1, 64) = 0.634395, p = 0.428692, eta_p2 = 0.009815."
52,study_43,10.1177/00986283231218943,recomputed_from_author_spss_repeated_measures_glm,mixed_anova,"Testing effect for reviewed content: F(1, 64) = 5.33, p = .024, eta_p2 = .08",NA,NA,NA,NA,NA,0.0242607,=,omnibus,NA,NA,5.325433,1,64,NA,NA,NA,NA,NA,NA,67,NA,eta_p2,0.076818,,,data/raw/study_43/Datafile.sav,Crit_Score_Testing_old; Crit_Score_Testing_New; Crit_Score_Restudy_old; Crit_Score_Restudy_New; Lecture; questiontype_crit,SPSS GLM Crit_Score_Testing_old Crit_Score_Testing_New Crit_Score_Restudy_old Crit_Score_Restudy_New BY Lecture questiontype_crit /WSFACTOR = Learning_condition 2 Polynomial Old_vs_New 2 Polynomial /WSDESIGN = Learning_condition Old_vs_New Learning_condition*Old_vs_New /DESIGN = Lecture questiontype_crit,"Final-test performance on questions referring to TESTED content exceeds performance on questions referring to RESTUDIED content, within reviewed content.",NA,NA,NA,"ROW: follow-up simple effect for REVIEWED content -- Almuhanna's KEY target for study_43 (reported F(1,64) = 5.33, p = .024, eta_p2 = .08; Fully reproducible). Recomputed from the author's SPSS GLM target using complete cases on the four criterion-score variables. The target within-subject interaction was reconstructed as the contrast (Testing_old - Testing_New) - (Restudy_old - Restudy_New), then tested as the intercept in lm(contrast ~ Lecture + questiontype_crit) using sum contrasts, matching the SPSS repeated-measures GLM with Lecture and questiontype_crit as between-subject factors and no Lecture x questiontype_crit term. n_total = 67; Lecture counts: 1=39; 2=28; questiontype_crit counts: -1=37; 1=30. Target interaction: F(1, 64) = 5.183127, p = 0.0261602, eta_p2 = 0.074919. Follow-up reviewed/tested content contrast: F(1, 64) = 5.325433, p = 0.0242607, eta_p2 = 0.076818. Follow-up unreviewed-content contrast: F(1, 64) = 0.739777, p = 0.392943, eta_p2 = 0.011427. Question-type main effect: F(1, 64) = 19.091631, p = 4.66226e-05, eta_p2 = 0.229766. Learning-condition main effect: F(1, 64) = 0.634395, p = 0.428692, eta_p2 = 0.009815."
53,study_43,10.1177/00986283231218943,recomputed_from_author_spss_repeated_measures_glm,mixed_anova,"Question-type main effect: F(1, 64) = 19.09, p < .001, eta_p2 = .23",NA,NA,NA,NA,NA,4.66226e-05,=,omnibus,NA,NA,19.091631,1,64,NA,NA,NA,NA,NA,NA,67,NA,eta_p2,0.229766,,,data/raw/study_43/Datafile.sav,Crit_Score_Testing_old; Crit_Score_Testing_New; Crit_Score_Restudy_old; Crit_Score_Restudy_New; Lecture; questiontype_crit,SPSS GLM Crit_Score_Testing_old Crit_Score_Testing_New Crit_Score_Restudy_old Crit_Score_Restudy_New BY Lecture questiontype_crit /WSFACTOR = Learning_condition 2 Polynomial Old_vs_New 2 Polynomial /WSDESIGN = Learning_condition Old_vs_New Learning_condition*Old_vs_New /DESIGN = Lecture questiontype_crit,Final-test performance on questions referring to REVIEWED (tested or restudied) content exceeds performance on questions referring to content NOT reviewed.,NA,NA,NA,"ROW: question-type main effect -- Almuhanna's SECOND target for study_43 (reported F(1,64) = 19.09, p < .001, eta_p2 = .23; Fully reproducible). Recomputed from the author's SPSS GLM target using complete cases on the four criterion-score variables. The target within-subject interaction was reconstructed as the contrast (Testing_old - Testing_New) - (Restudy_old - Restudy_New), then tested as the intercept in lm(contrast ~ Lecture + questiontype_crit) using sum contrasts, matching the SPSS repeated-measures GLM with Lecture and questiontype_crit as between-subject factors and no Lecture x questiontype_crit term. n_total = 67; Lecture counts: 1=39; 2=28; questiontype_crit counts: -1=37; 1=30. Target interaction: F(1, 64) = 5.183127, p = 0.0261602, eta_p2 = 0.074919. Follow-up reviewed/tested content contrast: F(1, 64) = 5.325433, p = 0.0242607, eta_p2 = 0.076818. Follow-up unreviewed-content contrast: F(1, 64) = 0.739777, p = 0.392943, eta_p2 = 0.011427. Question-type main effect: F(1, 64) = 19.091631, p = 4.66226e-05, eta_p2 = 0.229766. Learning-condition main effect: F(1, 64) = 0.634395, p = 0.428692, eta_p2 = 0.009815."
