id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
13,study_20,10.1177/14757257221098860,recomputed_from_raw_data_supplied_sem_model,sem_contrast,"((MDV + MR + MRSI)/3 - MC = .372, SE = .183, p = .021; one-sided test)",0.021,=,one_sided,NA,NA,0.020995885820969305,=,one_sided,NA,NA,NA,NA,NA,2.0336016867372755,NA,NA,NA,NA,NA,153,NA,none,NA,0.37156096937466826,0.18271078933397386,data/raw/study_20/PA_sj-csv-2-plj-10.1177_14757257221098860.csv,group_t2; FRG_A_01_t1; FRG_A_02_t1; FRG_A_03_t1; FRG_A_04_t1; FRG_A_05_t1; FRG_M_01_t1; FRG_M_02_t1; FRG_M_03_t1; FRG_M_04_t1; FRG_M_05_t1; FRG_E_01_t1; FRG_E_02_t1; FRG_E_03_t1; FRG_E_04_t1; FRG_E_05_t1; FRG_A_01_t2; FRG_A_02_t2; FRG_A_03_t2; FRG_A_04_t2; FRG_A_05_t2; FRG_M_01_t2; FRG_M_02_t2; FRG_M_03_t2; FRG_M_04_t2; FRG_M_05_t2; FRG_E_01_t2; FRG_E_02_t2; FRG_E_03_t2; FRG_E_04_t2; FRG_E_05_t2; DV; R; Social_Interaction; D_FRG_Index_t1; D_FRG_Index_t2,lavaan latent difference score model; Test_H1a := (m_DV + m_R + m_SI)/3 - b0,average of intervention latent-change means minus control latent-change mean,h1a_average_intervention_vs_control,lavaan::sem() parameterEstimates for defined parameter Test_H1a,ready_normal_prior_diagnostic,"Recovered estimate, SE, z and one-sided directional p from supplied lavaan model. Two-sided p = 0.0419918."
14,study_20,10.1177/14757257221098860,recomputed_from_raw_data_supplied_sem_model,sem_contrast,"(MRSI - MR = .081, SE = .227, p = .360; one-sided test)",0.36,=,one_sided,NA,NA,0.35982073197228404,=,one_sided,NA,NA,NA,NA,NA,0.35893800993428016,NA,NA,NA,NA,NA,153,NA,none,NA,0.08136299809648939,0.22667701899664114,data/raw/study_20/PA_sj-csv-2-plj-10.1177_14757257221098860.csv,group_t2; FRG_A_01_t1; FRG_A_02_t1; FRG_A_03_t1; FRG_A_04_t1; FRG_A_05_t1; FRG_M_01_t1; FRG_M_02_t1; FRG_M_03_t1; FRG_M_04_t1; FRG_M_05_t1; FRG_E_01_t1; FRG_E_02_t1; FRG_E_03_t1; FRG_E_04_t1; FRG_E_05_t1; FRG_A_01_t2; FRG_A_02_t2; FRG_A_03_t2; FRG_A_04_t2; FRG_A_05_t2; FRG_M_01_t2; FRG_M_02_t2; FRG_M_03_t2; FRG_M_04_t2; FRG_M_05_t2; FRG_E_01_t2; FRG_E_02_t2; FRG_E_03_t2; FRG_E_04_t2; FRG_E_05_t2; DV; R; Social_Interaction; D_FRG_Index_t1; D_FRG_Index_t2,lavaan latent difference score model; Test_H1c := m_SI - m_R,reflection plus social interaction latent-change mean minus reflection-only latent-change mean,h1c_social_interaction_vs_reflection,lavaan::sem() parameterEstimates for defined parameter Test_H1c,ready_normal_prior_diagnostic,"Recovered estimate, SE, z and one-sided directional p from supplied lavaan model. Two-sided p = 0.719641."
