id,study_id,study_DOI,recomputation_status,stat_test,reported_result,reported_p_value,reported_p_operator,reported_p_sidedness,reported_effect_size_type,reported_effect_size_value,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,analysis_label,statistic_source,bayesian_input_status,extraction_note
20,study_33,10.1037/stl0000227,recomputed_from_raw_data,one_sample_t_test,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",0.001,=,two_sided,cohens_d,1.23,0.001318506014707105,=,two_sided,4.270978296055972,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,cohens_d_one_sample,1.2329252344654822,1.1944444444444446,0.27966530421085317,data/raw/study_33/ProcessedDataSPSS.sav,Engagement_Avg,one-sample t-test: Engagement_Avg against mu = 3,Engagement_Avg mean minus scale midpoint 3,engagement_with_pandemic_related_research,stats::t.test(mu = 3),ready_jzs_ttest,"Recovered n, t, df, exact p, one-sample d, estimate and SE. Mean = 4.194444; SD = 0.968789."
21,study_33,10.1037/stl0000227,recomputed_from_raw_data,one_sample_t_test,"t(11) = 16.03, p < .001, d = 4.63, 95% CI [1.41, 1.86]",0.001,=,two_sided,cohens_d,4.63,5.650748853873423e-9,=,two_sided,16.030800890199103,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,cohens_d_one_sample,4.627693604640872,1.6388888888888893,0.10223374989897552,data/raw/study_33/ProcessedDataSPSS.sav,SocialPsychRealWorld_Avg,one-sample t-test: SocialPsychRealWorld_Avg against mu = 3,SocialPsychRealWorld_Avg mean minus scale midpoint 3,applicability_of_social_psychology,stats::t.test(mu = 3),ready_jzs_ttest,"Recovered n, t, df, exact p, one-sample d, estimate and SE. Mean = 4.638889; SD = 0.354148."
