repetition,logml_full,logml_null,log_bf10,log10_bf10,bf10
1,-211.77844882657746,-215.00581436100157,3.2273655344241092,1.4016270426851298,25.213146233494346
2,-211.78185151727826,-214.9933471884768,3.2114956711985485,1.3947348486577096,24.81617531981179
3,-211.7800683734461,-215.01096178295427,3.2308934095081554,1.403159179366975,25.30225214873407
4,-211.7916763302848,-215.01114909579886,3.2194727655140696,1.398199256700562,25.01492797125984
5,-211.77054131170934,-215.00286997429194,3.232328662582603,1.4037825018573422,25.338593357098073
