repetition,logml_full,logml_null,log_bf10,log10_bf10,bf10
1,-211.6440495800902,-212.69878156637432,1.0547319862841107,0.4580642815300455,2.871205528308122
2,-211.64926625597548,-212.71513367956464,1.065867423589168,0.46290034050521156,2.9033563318683786
3,-211.64250685065525,-212.71184060528196,1.0693337546267117,0.4644057489472667,2.9134377887736345
4,-211.63737156527156,-212.7135887799787,1.0762172147071283,0.467395197676593,2.933561502420756
5,-211.64288819126958,-212.7158668596126,1.072978668343012,0.4659887148612694,2.924076394753781
