id,study_id,study_DOI,stat_test,reported_result,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,notes
34,study_45,10.1177/00986283241247181,friedman_test,"χ^2(3) = 1321.10, p < .001, W = 0.81.",0.001,<,omnibus,,,,,,,1321.1,3,,,,,,kendalls_w,0.81,,,
35,study_47,10.1177/00986283231226187,mixed_anova,"F(1, 119) = 4.98, p = .027, eta_p2 = .040",0.027,=,omnibus,,,4.98,1,119,,,,,,,,,eta_p2,0.04,,,
36,study_47,10.1177/00986283231226187,mixed_anova,"F(2, 238) = 2.90, p = .057, eta_p2 = .024",0.057,=,omnibus,,,2.9,2,238,,,,,,,,,eta_p2,0.024,,,
37,study_49,10.1177/00986283251325842,paired_t_test,"t(27) = 1.20, p = .119, d = 0.23",0.119,=,two_sided,1.2,27,,,,,,,,,,28,28,cohens_d,0.23,,,
38,study_49,10.1177/00986283251325842,paired_t_test,"t(27) = 0.47, p = .319, d = 0.09",0.319,=,two_sided,0.47,27,,,,,,,,,,28,28,cohens_d,0.09,,,
39,study_51,10.1177/14757257231197359,independent_t_test,"t(100) = 2.79, p < .01, d = 0.55",0.01,<,two_sided,2.79,100,,,,,,,,,,102,,cohens_d,0.55,,,
40,study_51,10.1177/14757257231197359,independent_t_test,"t(100) = -0.95, p < .01, d = -0.19",0.01,<,two_sided,-0.95,100,,,,,,,,,,102,,cohens_d,-0.19,,,
41,study_53,10.1037/stl0000306,independent_t_test,"t(246) = 3.29, p = .00, d = 0.42.",0.001,<,two_sided,3.29,246,,,,,,,,,,248,,cohens_d,0.42,,,
42,study_53,10.1037/stl0000306,independent_t_test,"t(246) = 2.79, p = .01, d = 0.35",0.01,=,two_sided,2.79,246,,,,,,,,,,248,,cohens_d,0.35,,,
43,study_55,10.1177/14757257241301733,welch_anova,"F(3, 79.57) = 35.64, p < .001, ω^2 = .273, BF10 = 2.06 × 10⁸",0.001,<,omnibus,,,35.64,3,79.57,,,,,,,,,omega2,0.273,,,
44,study_60,10.1177/00986283211043779,factorial_between_anova,"F(1, 322) = 5.17, p = .02, eta_p2 = .02",0.02,=,omnibus,,,5.17,1,322,,,,,,,,,eta_p2,0.02,,,
45,study_60,10.1177/00986283211043779,factorial_between_anova,"F(1, 322) = 42.95, p < .001, eta_p2 = .12",0.001,<,omnibus,,,42.95,1,322,,,,,,,,,eta_p2,0.12,,,
