claim_id,study_id,stat_test,bf_family,design,bf_sidedness,bf_direction,observed_sign,direction_matches_observed,prior_label,rscale,t_for_bf,df_for_bf,r_value,n1,n2,n_total,p_value,bf10,log_bf10,log10_bf10,bf_error,prior_family,model_null,model_alt,method
study_37_claim_02,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,,,,wide,1,,,,,,563,0.00680125755823099,3.668835447049747,1.2998742948306472,0.5645282334128306,,glmm_full,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,,,,narrow,0.25,,,,63,58,121,0.0569589309954774,1.278554598449461,0.2457302199209295,0.10671927854853219,0.051038956237395336,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,,,,primary,0.5,,,,63,58,121,0.0569589309954774,0.6689751266495455,-0.40200839944114364,-0.17459002955604697,0.02126002457468832,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,,,,wide,0.707,,,,63,58,121,0.0569589309954774,0.44329464433377136,-0.813520618662622,-0.3533075155996963,0.04082815207886361,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_60_claim_01,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,narrow,0.25,,,,163,163,326,0.02364995293670567,2.3048004296360673,0.8349940911974264,0.36263332622886285,0.021343256257709723,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_60_claim_01,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,primary,0.5,,,,163,163,326,0.02364995293670567,1.5113893393409925,0.41302932008019694,0.17937635457508147,0.031161469091802254,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_60_claim_01,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,wide,0.707,,,,163,163,326,0.02364995293670567,1.1160092675697866,0.10975916819864122,0.04766780108696076,0.02294692715928309,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_60_claim_02,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,narrow,0.25,,,,163,163,326,2.2266005311121752e-10,35633459.59338416,17.38879563063382,7.551857989327643,0.03316062635846022,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_60_claim_02,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,primary,0.5,,,,163,163,326,2.2266005311121752e-10,40036882.36783333,17.505311646438592,7.602460252045008,0.050913855961506195,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_60_claim_02,study_60,factorial_between_anova,anova_cauchy,wave2,two_sided,,,,wide,0.707,,,,163,163,326,2.2266005311121752e-10,39467252.17860158,17.490981827242482,7.596236890641466,0.026769157243711088,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
