claim_id,study_id,prior_label,rscale,bf10,log_bf10,log10_bf10,bf_error,bridge_sd_log10,bridge_span_log10,bridge_repetitions,model_null,model_alt,method
study_37_claim_01,study_37,narrow,0.3,6.613334580827651,1.8890880018218126,0.8204204950208533,,0.002435602002752777,0.0053829199379329395,5,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_01,study_37,primary,0.6,25.13625455688474,3.224311208645497,1.4003005658535437,,0.0037897162954126113,0.009047653199632633,5,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_01,study_37,wide,1,36.07399651211967,3.5855722875611833,1.5571942589530414,,0.003033751171171817,0.00735287487884051,5,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,narrow,0.3,1.5951596169814553,0.4669738045724102,0.20280414651916526,,0.0029333139144763526,0.007071263379538867,5,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,primary,0.6,2.909047795253798,1.0678258095100261,0.46375085670407723,,0.003597868435626332,0.009330916146547463,5,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,wide,1,3.6688354470497475,1.2998742948306472,0.5645282334128306,,0.002812241576128598,0.007032539697115814,5,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
